experiment_id,accuracy_mean,accuracy_std,f1_mean,f1_std,latency_mean,latency_std,params,group
arch_gr12_c0.25_d2_2_2,89.30050730705261,1.7246490410657838,90.551323567933,1.3927655681429432,1.0041230358183384,0.0016376684824514261,13980,architecture
arch_gr12_c0.25_d3_3_3,94.77680623531342,0.09762474520578385,95.3485841891247,0.016370313865720656,1.243234658613801,0.010946524375041154,29352,architecture
arch_gr12_c0.25_d4_4_4,97.72204458713531,0.29286580624764935,97.94921191583538,0.25071789364319846,1.3830866198986769,0.07939392831904424,50516,architecture
arch_gr12_c0.5_d2_2_2,93.14312040805817,0.1952452757267166,93.91062993493178,0.0727159704317789,1.1060550808906555,0.12285450726891299,20884,architecture
arch_gr12_c0.5_d3_3_3,97.53796458244324,0.09762053052093275,97.76579650805442,0.08975675789849807,1.2753780465573072,0.020242670358626817,42698,architecture
arch_gr12_c0.5_d4_4_4,97.7910727262497,0.06507894878567147,98.0570634679073,0.060778166294134045,1.4437357429414988,0.0081971010542133,72372,architecture
arch_gr12_c0.75_d2_2_2,95.16797065734863,0.5857316124952987,95.63813947363636,0.4979804819474216,1.076648710295558,0.021420411356703112,29292,architecture
arch_gr12_c0.75_d3_3_3,97.56097495555878,0.13016211225619403,97.81362526418056,0.10082882959660733,1.359905581921339,0.07363831517372607,59172,architecture
arch_gr12_c0.75_d4_4_4,98.38932156562805,0.0,98.4901566232022,0.009214330299170377,1.4861207455396652,0.06506551447770863,99572,architecture
arch_gr4_c0.25_d2_2_2,70.89277505874634,3.6770849395935454,70.01598163668561,5.615819279359581,1.0178876109421253,0.042655244871056694,3594,architecture
arch_gr4_c0.25_d3_3_3,79.65945899486542,0.39048633676858213,80.30442371969602,0.5973480029538506,1.219362486153841,0.003912939757531721,6056,architecture
arch_gr4_c0.25_d4_4_4,85.8030378818512,1.7246490410657838,86.71551520488623,1.8044099160827651,1.3992061838507652,0.024180173826306293,9388,architecture
arch_gr4_c0.5_d2_2_2,81.54624998569489,1.8222737862715677,82.77307241044483,1.1005319451511428,1.064077066257596,0.0948745974859972,5156,architecture
arch_gr4_c0.5_d3_3_3,86.95352077484131,0.35794475503332085,88.0802709516028,0.11729212139367975,1.3585720211267471,0.035993408628303504,8714,architecture
arch_gr4_c0.5_d4_4_4,90.5430257320404,0.9436763675286195,91.64079525373832,0.7225315643547281,1.4598471578210592,0.07208750871187757,13204,architecture
arch_gr4_c0.75_d2_2_2,86.47031784057617,1.366704286032463,87.53899144818158,1.4671949600130219,1.012110011652112,0.037699895011839124,7070,architecture
arch_gr4_c0.75_d3_3_3,89.78371024131775,1.9524358985277617,90.69527172373137,1.6615869046691318,1.2673630379140377,0.00016252878457013512,11860,architecture
arch_gr4_c0.75_d4_4_4,92.52186119556427,0.03254158173526128,93.29919524877477,0.1071023184477189,1.3881381135433912,0.0347282787740179,18092,architecture
arch_gr8_c0.25_d2_2_2,85.89507639408112,0.29286580624764935,86.8448784806067,0.49660846028714223,1.001303130760789,0.005997694106452615,8092,architecture
arch_gr8_c0.25_d3_3_3,90.33594131469727,1.9524358985277617,91.36026135644872,1.7102633636391182,1.2433269992470741,0.0009381625060721819,15556,architecture
arch_gr8_c0.25_d4_4_4,94.04049813747406,0.03254158173526128,94.57814544245392,0.019940269466459427,1.3826936949044466,0.0021150473962880992,25900,architecture
arch_gr8_c0.5_d2_2_2,90.54302871227264,1.1389216432553362,91.43603470795877,0.8553209752029695,1.0970104951411486,0.12280755304549383,11764,architecture
arch_gr8_c0.5_d3_3_3,94.96088325977325,0.48810686728951486,95.46022750623874,0.5217791644106201,1.236156653612852,0.024088241012991906,22556,architecture
arch_gr8_c0.5_d4_4_4,95.9733098745346,0.878597418742948,96.38083413040326,0.7550890639250601,1.5435499604791403,0.15073260607089464,36900,architecture
arch_gr8_c0.75_d2_2_2,91.76253974437714,1.4317832348181345,92.67169342310285,1.0764555783934995,0.9951890911906958,0.005033584946765915,16476,architecture
arch_gr8_c0.75_d3_3_3,95.78922986984253,0.9436763675286195,96.2177695315104,0.855391926881209,1.2543695513159037,0.008113861028404286,31076,architecture
arch_gr8_c0.75_d4_4_4,96.7326283454895,0.5206484490247761,97.0460190197824,0.41052493222671615,1.5715716406702995,0.1547933890704685,50708,architecture
batch_10,94.82282400131226,0.09762053052093275,95.33954118841966,0.0018784553851181817,1.2971514370292425,0.07147993554881271,22556,batch_size
batch_20,95.32904028892517,0.09762053052093275,95.71521515111901,0.08438666891843295,1.255619851872325,0.010513992342198105,22556,batch_size
batch_5,94.5467084646225,0.29286580624764935,95.20052401565863,0.27539817169523056,1.247675670310855,0.001487981315786954,22556,batch_size
res_128,92.61389672756195,0.7484310918019029,93.23913523455528,0.6120123247808068,1.273333840072155,0.019906219969498443,22556,resolution
res_32,92.95904338359833,0.6508105612809701,93.50682527056965,0.5732637629113815,1.2567823752760887,0.015090152273719222,22556,resolution
res_64,94.04049813747406,0.2277826427771268,94.69228475560622,0.26709813848340075,1.2706402223557234,0.024984059107200796,22556,resolution
